term,index,definition
988 hedging transaction,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-J_section-988_subsection-d,"means any transaction— (A) entered into by the taxpayer primarily— (i) to manage risk of currency fluctuations with respect to property which is held or to be held by the taxpayer, or (ii) to manage risk of currency fluctuations with respect to borrowings made or to be made, or obligations incurred or to be incurred, by the taxpayer, and (B) identified by the Secretary or the taxpayer as being a 988 hedging transaction."
qualified representative,title-26_subtitle-F_chapter-77_section-7526_subsection-b,means any individual (whether or not an attorney) who is authorized to practice before the Internal Revenue Service or the applicable court.
taxidermy property,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-170_subsection-f,"means any work of art which— (i) is the reproduction or preservation of an animal, in whole or in part, (ii) is prepared, stuffed, or mounted for purposes of recreating one or more characteristics of such animal, and (iii) contains a part of the body of the dead animal."
sustainable aviation fuel,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-40B_subsection-d,"means liquid fuel, the portion of which is not kerosene, which— (A) meets the requirements of— (i) ASTM International Standard D7566, or (ii) the Fischer Tropsch provisions of ASTM International Standard D1655, Annex A1, (B) is not derived from coprocessing an applicable material (or materials derived from an applicable material) with a feedstock which is not biomass, (C) is not derived from palm fatty acid distillates or petroleum, and (D) has been certified in accordance with subsection (e) as having a lifecycle greenhouse gas emissions reduction percentage of at least 50 percent."
sustainable aviation fuel,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45Z_subsection-a,"means liquid fuel, the portion of which is not kerosene, which is sold for use in an aircraft and which— (i) meets the requirements of— (I) ASTM International Standard D7566, or (II) the Fischer Tropsch provisions of ASTM International Standard D1655, Annex A1, and (ii) is not derived from palm fatty acid distillates or petroleum."
principal campaign committee,title-26_subtitle-A_chapter-1_subchapter-F_part-VI_section-527_subsection-h,means the political committee designated by a candidate for Congress as his principal campaign committee for purposes of— (i) section 302(e) of the Federal Election Campaign Act of 1971 (52 U.
enterprise zone business,title-26_subtitle-A_chapter-1_subchapter-U_part-II_section-1394_subsection-b,meaning given such term by section 1397C.
enterprise zone business,title-26_subtitle-A_chapter-1_subchapter-U_part-II_section-1394_subsection-b,includes any trades or businesses which would qualify as an enterprise zone business (determined after the modifications of subparagraph (B)) if such trades or businesses were separately incorporated.
enterprise zone business,title-26_subtitle-A_chapter-1_subchapter-U_part-III_subpart-D_section-1397C_subsection-a,"means— (1) any qualified business entity, and (2) any qualified proprietorship."
old loss corporation,title-26_subtitle-A_chapter-1_subchapter-C_part-V_section-382_subsection-k,"means any corporation— (A) with respect to which there is an ownership change, and (B) which (before the ownership change) was a loss corporation."
nonqualified entity,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-457A_subsection-b,"means— (1) any foreign corporation unless substantially all of its income is— (A) effectively connected with the conduct of a trade or business in the United States, or (B) subject to a comprehensive foreign income tax, and (2) any partnership unless substantially all of its income is allocated to persons other than— (A) foreign persons with respect to whom such income is not subject to a comprehensive foreign income tax, and (B) organizations which are exempt from tax under this title."
commercial inverter,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45X_subsection-c,"means an inverter which— (i) is suitable for commercial or utility-scale applications, (ii) has a rated output of 208, 480, 600, or 800 volt three-phase power, and (iii) has a capacity which is not less than 20 kilowatts and not greater than 125 kilowatts (expressed on a per alternating current watt basis)."
alternate payee,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-p,"means any spouse, former spouse, child or other dependent of a participant who is recognized by a domestic relations order as having a right to receive all, or a portion of, the benefits payable under a plan with respect to such participant."
specified automobile manufacturer,title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-430_subsection-i,"means— (I) any manufacturer of automobiles, and (II) any manufacturer of automobile parts which supplies such parts directly to a manufacturer of automobiles and which, after a transaction or series of transactions ending in 1999, ceased to be a member of a controlled group which included such manufacturer of automobiles."
1988 last signatory operator,title-26_subtitle-J_chapter-99_subchapter-C_part-II_section-9712_subsection-d,means a last signatory operator which is a 1988 agreement operator.
