index,name,type,definition
title-26_subtitle-A_chapter-1_subchapter-G_part-II_section-545_subsection-a,undistributed personal holding company income,concept,"means the taxable income of a personal holding company adjusted in the manner provided in subsections (b), (c), and (d), minus the dividends paid deduction as defined in section 561."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-c,earned income,concept,"means the net earnings from self-employment (as defined in section 1402(a)), but such net earnings shall be determined— (i) only with respect to a trade or business in which personal services of the taxpayer are a material income-producing factor, (ii) without regard to paragraphs (4) and (5) of section 1402(c), (iii) in the case of any individual who is treated as an employee under subparagraph (A), (C), or (D) of section 3121(d)(3), without regard to section 1402(c)(2), (iv) without regard to items which are not included in gross income for purposes of this chapter, and the deductions properly allocable to or chargeable against such items, (v) with regard to the deductions allowed by section 404 to the taxpayer, and (vi) with regard to the deduction allowed to the taxpayer by section 164(f)."
title-26_subtitle-A_chapter-1_subchapter-O_part-IV_section-1061_subsection-c,applicable partnership interest,concept,"means any interest in a partnership which, directly or indirectly, is transferred to (or is held by) the taxpayer in connection with the performance of substantial services by the taxpayer, or any other related person, in any applicable trade or business."
title-26_subtitle-F_chapter-77_section-7526A_subsection-e,eligible organization,entity,means— (i) an institution of higher education which is described in section 102 (other than subsection (a)(1)(C) thereof) of the Higher Education Act of 1965 (20 U.
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-s,compensation,entity,meaning given such term by section 415(c)(3).
title-26_subtitle-B_chapter-14_section-2701_subsection-e,applicable family member,entity,"means, with respect to any transferor— (A) the transferor's spouse, (B) an ancestor of the transferor or the transferor's spouse, and (C) the spouse of any such ancestor."
title-26_subtitle-A_chapter-1_subchapter-C_part-III_subpart-D_section-368_subsection-a,investment company,entity,"means a regulated investment company, a real estate investment trust, or a corporation 50 percent or more of the value of whose total assets are stock and securities and 80 percent or more of the value of whose total assets are assets held for investment."
title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-117_subsection-d,qualified tuition reduction,concept,"means the amount of any reduction in tuition provided to an employee of an organization described in section 170(b)(1)(A)(ii) for the education (below the graduate level) at such organization (or another organization described in section 170(b)(1)(A)(ii)) of— (A) such employee, or (B) any person treated as an employee (or whose use is treated as an employee use) under the rules of section 132(h)."
title-26_subtitle-A_chapter-1_subchapter-P_part-I_section-1202_subsection-g,pass-thru entity,entity,"means— (A) any partnership, (B) any S corporation, (C) any regulated investment company, and (D) any common trust fund."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-A_section-904_subsection-f,controlled foreign corporation,entity,meaning given such term by section 957.
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-408_subsection-d,testing period,concept,means the period beginning with the month in which the qualified HSA funding distribution is contributed to a health savings account and ending on the last day of the 12th month following such month.
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-199A_subsection-e,threshold amount,concept,"means $157,500 (200 percent of such amount in the case of a joint return)."
title-26_subtitle-A_chapter-1_subchapter-S_part-I_section-1361_subsection-e,potential current beneficiary,entity,"means, with respect to any period, any person who at any time during such period is entitled to, or at the discretion of any person may receive, a distribution from the principal or income of the trust (determined without regard to any power of appointment to the extent such power remains unexercised at the end of such period)."
title-26_subtitle-A_chapter-3_subchapter-A_section-1442_subsection-c,foreign corporation,entity,"does not include a corporation created or organized in Guam, American Samoa, the Northern Mariana Islands, or the Virgin Islands or under the law of any such possession if the requirements of subparagraphs (A), (B), and (C) of section 881(b)(1) are met with respect to such corporation."
title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-79_subsection-d,key employee,entity,meaning given to such term by paragraph (1) of section 416(i).
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-D_section-419A_subsection-d,key employee,entity,"means any employee who, at any time during the plan year or any preceding plan year, is or was a key employee as defined in section 416(i)."
